Note,Octave,Fingers,NumNotes
B,4,,1
E,4,,1
F,4,,1
G,4,,1
F,4,,1
E,4,,1
B,4,,1
F,4,,1
G,4,,1
A,4,,1
G,4,,1
F,4,,1
B,4,,1
E,4,,1
F,4,,1
G,4,,1
F,4,,1
E,4,,1
B,4,,1
C,5,,1
D,5,,1
D,5,,1
C,4,,1
B,4,,1
E,5,,1
F,5,,1
G,5,,1
F,5,,1
E,5,,1
D,5,,1
E,5,,1
B,4,,1
C,5,,1
D,5,,1
C,5,,1
B,5,,1
C,5,,1
E,5,,1
C,5,,1
A,4,,1
C,5,,1
A,4,,1
D,5,,1
A,4,,1
B,4,,1
C,5,,1
B,4,,1
A,4,,1
B,4,,1
D,5,,1
B,4,,1
G,4,,1
B,4,,1
G,4,,1
C,5,,1
G,4,,1
A,4,,1
B,4,,1
A,4,,1
G,4,,1
A,4,,1
C,5,,1
A,4,,1
F,4,,1
A,4,,1
F,4,,1
X,0,0,99
B,4,,1
F,4,,1
G,4,,1
A,4,,1
G,4,,1
F,4,,1
G,4,,1
E,4,,1
G,4,,1
B,4,,1
E,5,,1
B,4,,1
C,5,,1
A,4,,1
C,5,,1
E,5,,1
A,5,,1
C,5,,1
D,5,,1
B,4,,1
E,5,,1
E,5,,1
F,5,,1
D,5,,1
G,4,,3
B,4,,0
E,5,,0
B,5,,1
F,5,,1
D,5,,1
B,4,,1
D,5,,1
F,5,,1
B,5,,1
F,5,,1
G,5,,1
A,5,,1
G,5,,1
F,5,,1
G,5,,1
A,5,,1
G,5,,1
A,5,,1
F,5,,1
G,5,,1
F,5,,1
G,5,,1
E,5,,1
F,5,,1
G,5,,1
F,5,,1
E,5,,1
D,5,,1
F,5,,1
D,5,,1
C,5,,1
F,5,,1
C,5,,1
X,0,0,99
D,5,,1
F,5,,1
D,5,,1
C,5,,1
F,5,,1
C,5,,1
D,5,,1
F,5,,1
D,5,,1
C,5,,1
F,5,,1
C,5,,1
B,4,,1
C,5,,1
D,5,,1
C,5,,1
B,4,,1
A,4,,1
F,4,,1
A,4,,1
B,4,,1
F,4,,1
B,4,,1
C,5,,1
F,4,,1
C,5,,1
D,5,,1
F,4,,1
D,5,,1
E,5,,1
F,4,,1
E,5,,1
D,5,,1
F,4,,1
D,5,,1
C,5,,1
F,4,,1
C,5,,1
D,5,,1
F,4,,1
D,5,,1
E,5,,1
C,6,,1
B,5,,1
A,5,,1
B,5,,1
C,5,,1
F,5,,1
A,5,,1
C,6,,1
F,5,,1
G,5,,1
E,5,,1
D,5,,1
F,5,,1
B,5,,1
C,5,,1
B,5,,1
A,5,,1
B,5,,1
F,5,,1
D,5,,1
B,4,,1
D,5,,1
F,5,,1
B,5,,3
F,5,,0
D,4,,0
X,0,0,99
B,4,,1
E,4,,1
F,4,,1
G,4,,1
F,4,,1
E,4,,1
B,4,,1
F,4,,1
G,4,,1
A,4,,1
G,4,,1
F,4,,1
B,4,,1
E,4,,1
F,4,,1
G,4,,1
F,4,,1
E,4,,1
B,4,,1
C,5,,1
D,5,,1
D,5,,1
C,4,,1
B,4,,1
E,5,,1
F,5,,1
G,5,,1
F,5,,1
E,5,,1
D,5,,1
E,5,,1
B,4,,1
C,5,,1
D,5,,1
C,5,,1
B,5,,1
C,5,,1
E,5,,1
C,5,,1
A,4,,1
C,5,,1
A,4,,1
D,5,,1
A,4,,1
B,4,,1
C,5,,1
B,4,,1
A,4,,1
B,4,,1
D,5,,1
B,4,,1
G,4,,1
B,4,,1
G,4,,1
C,5,,1
G,4,,1
A,4,,1
B,4,,1
A,4,,1
G,4,,1
A,4,,1
C,5,,1
A,4,,1
F,4,,1
A,4,,1
F,4,,1
X,0,0,99
B,4,,1
F,4,,1
G,4,,1
A,4,,1
G,4,,1
F,4,,1
G,4,,1
E,4,,1
G,4,,1
B,4,,1
E,5,,1
B,4,,1
C,5,,1
A,4,,1
C,5,,1
E,5,,1
A,5,,1
C,5,,1
D,5,,1
B,4,,1
E,5,,1
E,5,,1
F,5,,1
D,5,,1
G,4,,3
B,4,,0
E,5,,0
B,5,,1
F,5,,1
D,5,,1
B,4,,1
D,5,,1
F,5,,1
B,5,,1
F,5,,1
G,5,,1
A,5,,1
G,5,,1
F,5,,1
G,5,,1
A,5,,1
G,5,,1
A,5,,1
F,5,,1
G,5,,1
F,5,,1
G,5,,1
E,5,,1
